gender,age,study_hours_per_day,attendance_percentage,parental_education,internet_access,previous_grade,assignments_completed,sleep_hours,extracurricular_participation,final_exam_score,result
Male,18,1.27,85.15,Diploma,Yes,77.49,8,4.11,Yes,55.59,Pass
Male,19,4.44,90.49,Master,Yes,78.71,8,4.71,No,74.18,Pass
Male,16,2.91,95.06,Master,No,70.94,9,4.9,Yes,78.29,Pass
Female,15,2.72,94.09,Diploma,Yes,73.03,9,8.05,No,68.04,Pass
Female,18,1.25,98.6,Diploma,Yes,71.6,1,8.97,Yes,54.39,Pass
Male,17,3.29,83.26,Diploma,Yes,44.5,2,8.34,No,41.78,Pass
Female,16,1.2,96.35,Bachelor,Yes,76.86,9,7.18,No,61.51,Pass
Female,17,3.12,92.34,Bachelor,Yes,65.84,6,7.61,Yes,61.09,Pass
Male,18,4.7,95.79,Master,Yes,64.12,10,6.61,No,82.6,Pass
Male,17,1.92,60.47,Diploma,No,87.3,9,6.11,No,69.81,Pass
Female,16,3.14,98.64,Bachelor,No,41.28,8,7.46,No,58.92,Pass
Male,18,5.96,78.94,High School,Yes,53.82,5,8.87,No,74.41,Pass
Female,15,4.28,91.93,High School,Yes,46.68,10,4.14,No,72.3,Pass
Female,16,5.13,65.09,Diploma,Yes,41.94,0,5.57,Yes,42.13,Pass
Female,19,2.78,75.84,Bachelor,Yes,55.16,10,5.65,No,68.32,Pass
Female,16,4.72,70.86,High School,Yes,94.37,6,6.07,Yes,75.08,Pass
Male,18,0.72,71.67,Master,No,54.86,10,7.13,No,57.64,Pass
Male,16,1.18,64.93,High School,No,76.5,0,6.57,No,45.19,Pass
Male,15,1.62,92.23,Master,Yes,46.51,4,4.09,Yes,46.77,Pass
Male,15,2.71,60.37,High School,No,73.1,8,6.06,No,62.62,Pass
Female,19,5.15,72.5,High School,No,94.15,9,7.1,No,83.25,Pass
Female,17,2.4,66.98,Bachelor,Yes,56.05,10,6.52,No,60.36,Pass
Male,18,4.1,83.56,High School,Yes,86.64,9,8.36,Yes,82.98,Pass
Female,18,4.4,70.17,High School,Yes,94.87,8,5.99,Yes,85.83,Pass
Female,17,3.72,70.36,Master,Yes,72.37,0,4.06,No,52.01,Pass
Female,15,2.46,79.53,Master,Yes,57.02,5,5.42,Yes,49.69,Pass
Male,15,3.67,86.11,High School,Yes,77.04,2,4.68,No,60.19,Pass
Male,16,2.38,64.85,Diploma,Yes,86.47,8,5.25,Yes,72.97,Pass
Male,19,0.96,67.02,High School,Yes,49.42,2,5.81,Yes,26.25,Fail
Female,19,5.96,69.89,High School,Yes,64.89,1,7.38,Yes,63.34,Pass
Male,19,1.2,98.95,Bachelor,Yes,57.56,7,5.62,No,49.45,Pass
Male,16,0.9,75.89,High School,No,55.58,2,8.42,Yes,40.81,Pass
Male,19,5.33,83.96,High School,Yes,87.35,4,5.5,No,83.34,Pass
Male,17,2.16,69.66,Master,Yes,63.19,5,4.68,Yes,44.89,Pass
Male,16,4.08,79.62,Master,No,58.65,9,4.84,No,71.41,Pass
Male,17,2.31,62.96,Master,No,73.19,9,8.67,No,69.54,Pass
Female,16,2.65,61.39,Master,Yes,52.07,0,6.27,Yes,35.31,Fail
Female,19,1.94,78.75,High School,No,52.64,6,6.02,Yes,55.47,Pass
Male,17,2.39,75.95,Diploma,Yes,68.62,10,4.34,No,62.02,Pass
Male,17,2.76,65.48,Bachelor,Yes,62.51,6,7.67,No,60.31,Pass
Female,17,4.46,87.5,Bachelor,Yes,56.22,4,7.47,Yes,67.4,Pass
Female,16,3.31,99.72,Diploma,Yes,42.97,8,5.88,Yes,55.92,Pass
Male,18,5.69,75.83,Diploma,Yes,68.64,10,7.46,No,82.17,Pass
Male,19,0.73,84.98,Bachelor,Yes,84.91,1,5.84,No,53.68,Pass
Male,17,3.27,98.52,High School,Yes,86.83,4,4.37,No,57.1,Pass
Male,18,3.71,93.26,Bachelor,Yes,52.95,1,7.69,No,53.49,Pass
Female,19,5.56,78.54,Diploma,Yes,72.98,1,8.83,Yes,75.84,Pass
Male,19,0.77,89.5,High School,Yes,87.07,10,7.24,Yes,52.73,Pass
Male,17,3.65,65.13,Bachelor,Yes,62.48,8,5.38,Yes,71.14,Pass
Male,17,5.19,80.48,High School,Yes,91.27,6,5.35,Yes,86.63,Pass
Male,16,1.83,71.16,High School,Yes,89.66,3,8.64,Yes,57.86,Pass
Female,18,5.32,66.45,Diploma,Yes,51.45,10,5.52,Yes,75.87,Pass
Female,18,0.6,77.05,Master,Yes,54.24,7,7.84,No,47.63,Pass
Female,17,4.53,65.24,Bachelor,Yes,49.92,10,7.21,Yes,66.42,Pass
Male,19,5.63,87.96,Diploma,No,50.78,10,6.96,No,83.44,Pass
Male,17,4.11,78.25,Bachelor,No,89.93,3,4.91,Yes,70.32,Pass
Female,19,2.91,81.25,Master,No,91.21,0,4.17,Yes,61.13,Pass
Male,19,0.75,65.86,Master,Yes,42.85,9,6.44,No,40.68,Pass
Male,17,5.56,65.59,Master,Yes,72.65,2,8.94,Yes,55.74,Pass
Female,15,3.09,83.34,Master,Yes,71.03,9,4.98,No,64.3,Pass
Female,18,0.66,99.4,Bachelor,No,61.48,0,6.68,No,46.98,Pass
Female,19,4.29,63.85,High School,Yes,74.74,1,7.35,No,62.95,Pass
Female,19,3.15,71.43,High School,Yes,92.11,1,6.42,Yes,59.58,Pass
Male,15,1.18,94.78,Master,Yes,49.36,6,6.53,No,49.98,Pass
Male,16,1.68,62.89,Master,Yes,46.62,3,7.31,No,41.45,Pass
Female,15,0.85,95.04,High School,Yes,41.84,9,8.07,No,39.49,Fail
Male,15,3.66,80.97,Diploma,Yes,60.01,8,5.67,No,70.65,Pass
Female,19,3.92,76.33,Master,No,58.57,1,8.5,No,43.12,Pass
Female,18,3.28,72.39,High School,Yes,63.7,8,6.42,Yes,61.98,Pass
Male,15,4.99,71.88,Diploma,Yes,67.68,5,7.31,Yes,64.31,Pass
Female,16,5.24,72.23,High School,Yes,81.68,9,4.53,Yes,85.1,Pass
Male,17,3.89,95.39,Diploma,Yes,61.57,7,6.46,No,68.67,Pass
Male,15,0.57,88.95,Bachelor,Yes,58.18,6,4.08,Yes,31.99,Fail
Male,15,4.32,86.79,Diploma,Yes,85.48,10,5.96,Yes,90.62,Pass
Male,16,2.8,91.95,Master,Yes,86.74,7,4.27,No,72.2,Pass
Female,18,3.61,70.28,Diploma,Yes,52.8,8,8.48,No,67.01,Pass
Male,15,4.07,84.72,Diploma,Yes,57.31,7,7.36,Yes,65.91,Pass
Female,15,2.43,78.4,Master,Yes,85.38,5,7.96,Yes,65.02,Pass
Female,18,5.54,91.3,Bachelor,Yes,44.37,7,6.34,Yes,61.41,Pass
Female,16,1.24,72.37,Diploma,No,57.92,7,8.26,No,46.72,Pass
Female,15,4.19,85.73,Bachelor,Yes,64.66,1,8.37,Yes,56.31,Pass
Male,18,0.52,95.29,High School,Yes,50.29,1,5.78,Yes,37.73,Fail
Male,15,5.59,76.09,High School,Yes,49.9,10,5.88,Yes,73.27,Pass
Female,17,1.12,62.66,Master,Yes,63.37,0,6.54,Yes,33.62,Fail
Female,19,1.02,80.64,Bachelor,Yes,81.5,9,4.21,No,59.25,Pass
Male,17,2.33,73.84,Master,Yes,86.21,1,8.98,Yes,57.31,Pass
Female,15,2.55,86.89,Master,Yes,93.86,6,5.8,No,70.53,Pass
Male,16,1.68,98.04,Diploma,No,44.07,10,6.35,Yes,51.42,Pass
Female,19,3.72,79.42,High School,Yes,51.92,2,7.77,No,50.34,Pass
Male,17,2.94,78.65,Master,Yes,81.61,3,5.49,Yes,57.44,Pass
Female,18,0.69,86.18,Diploma,Yes,69.73,3,5.01,Yes,41.07,Pass
Female,16,2.26,64.14,Diploma,Yes,58.02,3,4.64,No,38.93,Fail
Male,17,4.96,70.14,Bachelor,Yes,51.31,1,6.64,Yes,47.54,Pass
Female,18,4.29,96.76,High School,Yes,55.43,10,4.03,Yes,73.03,Pass
Female,15,4.49,86.8,Bachelor,No,63.61,5,7.55,No,56.44,Pass
Male,18,4.34,60.54,Bachelor,Yes,49.74,0,6.31,No,43.44,Pass
Female,17,2.21,68.19,Master,Yes,93.03,4,6.66,No,66.32,Pass
Male,17,1.05,87.31,Bachelor,Yes,45.92,1,5.32,Yes,39.26,Fail
Male,15,2.0,90.58,Master,Yes,94.21,8,4.89,Yes,74.59,Pass
Female,18,5.07,93.59,Bachelor,Yes,86.3,1,7.5,No,75.31,Pass
Female,18,5.89,71.69,Diploma,No,63.27,5,5.05,No,72.03,Pass
Female,15,3.22,97.24,High School,No,80.69,3,7.9,No,58.84,Pass
Female,18,0.55,82.12,High School,No,76.93,5,5.02,Yes,55.16,Pass
Female,15,1.27,87.86,High School,Yes,51.73,1,7.06,Yes,40.26,Pass
Female,16,2.27,83.87,Diploma,Yes,58.65,1,7.22,No,42.5,Pass
Female,17,3.68,64.91,Diploma,Yes,68.22,6,6.53,No,61.07,Pass
Male,16,0.91,98.52,Bachelor,No,75.08,2,8.98,No,48.21,Pass
Female,19,5.69,64.92,Bachelor,Yes,69.86,2,5.88,No,72.55,Pass
Male,19,2.51,70.2,Bachelor,Yes,66.01,6,8.42,Yes,56.09,Pass
Female,19,5.52,92.55,Bachelor,Yes,64.37,7,4.85,No,61.41,Pass
Female,15,4.79,84.74,High School,Yes,67.4,6,5.69,No,73.55,Pass
Male,18,4.65,93.53,Bachelor,Yes,63.89,2,4.73,Yes,56.61,Pass
Female,16,3.84,80.63,Diploma,Yes,69.77,2,7.02,No,61.4,Pass
Female,16,3.95,75.08,Diploma,No,88.84,6,7.19,No,76.83,Pass
Male,16,4.01,96.87,Diploma,No,74.81,2,6.27,Yes,71.35,Pass
Female,16,3.96,61.45,Master,Yes,79.74,1,7.6,No,59.34,Pass
Female,19,3.55,94.25,Master,No,72.86,6,8.34,No,70.8,Pass
Female,16,5.93,69.23,Master,Yes,75.37,2,7.88,No,71.39,Pass
Male,18,4.53,93.95,Bachelor,No,71.81,4,5.21,Yes,73.16,Pass
Female,19,4.77,65.57,High School,Yes,41.48,6,5.6,No,41.25,Pass
Female,16,5.3,83.21,High School,Yes,94.98,1,5.9,Yes,71.43,Pass
Female,15,1.69,95.52,Bachelor,Yes,41.85,7,5.02,Yes,47.51,Pass
Female,17,0.96,78.94,Bachelor,Yes,61.73,1,5.81,Yes,39.62,Fail
Male,17,3.16,89.86,Master,Yes,45.78,3,5.19,No,43.03,Pass
Male,17,3.33,92.19,Diploma,Yes,45.33,3,8.98,Yes,51.48,Pass
Female,19,5.06,89.46,Diploma,No,83.64,7,7.92,Yes,86.11,Pass
Female,16,2.94,97.01,Master,Yes,63.43,10,8.3,No,66.31,Pass
Male,19,3.64,77.87,Master,Yes,84.06,0,8.61,Yes,54.75,Pass
Male,18,3.4,66.93,High School,Yes,55.0,8,7.33,Yes,63.67,Pass
Female,15,0.71,61.91,Master,Yes,54.11,5,4.88,Yes,42.18,Pass
Male,15,3.88,69.86,Diploma,Yes,53.82,3,7.79,No,55.08,Pass
Female,17,5.05,65.73,Diploma,Yes,73.89,5,4.08,Yes,64.12,Pass
Male,17,1.37,82.32,Bachelor,Yes,84.82,5,4.57,Yes,72.69,Pass
Male,17,3.77,67.4,High School,Yes,64.87,8,4.15,No,55.2,Pass
Male,16,3.76,61.56,Bachelor,Yes,60.86,10,4.68,No,73.63,Pass
Male,18,1.4,61.44,High School,Yes,93.55,3,7.76,Yes,52.98,Pass
Female,18,1.18,93.26,Bachelor,Yes,46.42,7,8.43,No,62.9,Pass
Male,18,5.89,83.66,High School,Yes,66.76,0,5.39,Yes,66.72,Pass
Male,18,2.67,74.32,Master,No,62.47,5,4.6,No,61.1,Pass
Female,17,1.75,95.77,Diploma,No,45.4,4,5.36,Yes,46.98,Pass
Male,15,1.44,62.81,Master,Yes,54.75,2,7.24,No,27.16,Fail
Male,17,4.17,99.21,High School,Yes,41.56,3,5.75,Yes,53.96,Pass
Female,18,3.85,84.65,High School,Yes,88.23,7,8.81,Yes,78.81,Pass
Male,17,4.04,67.34,Bachelor,Yes,73.43,10,4.65,No,78.67,Pass
Female,18,0.98,87.16,High School,Yes,84.83,10,8.95,No,73.46,Pass
Female,19,5.41,90.54,Master,No,68.69,9,4.06,No,82.72,Pass
Female,15,2.64,77.17,High School,Yes,72.97,10,6.26,No,74.13,Pass
Female,19,2.22,94.47,High School,Yes,78.55,1,5.26,No,50.16,Pass
Male,16,3.04,66.03,Bachelor,Yes,89.94,7,6.83,Yes,62.96,Pass
Female,17,2.65,71.15,High School,Yes,45.05,6,4.48,Yes,45.77,Pass
Male,16,5.25,63.74,Bachelor,Yes,58.2,0,8.38,No,52.19,Pass
Male,17,5.61,68.44,Diploma,Yes,79.0,1,4.68,Yes,63.88,Pass
Male,19,2.17,69.55,Bachelor,Yes,92.71,6,6.94,Yes,60.77,Pass
Male,18,5.25,96.71,High School,Yes,93.94,10,4.17,No,88.71,Pass
Male,18,4.8,63.12,Diploma,No,75.1,10,5.55,Yes,78.15,Pass
Male,17,5.62,77.1,High School,Yes,50.65,2,4.75,No,54.97,Pass
Male,18,1.85,81.3,Bachelor,No,46.56,1,8.89,Yes,50.84,Pass
Male,19,3.67,95.95,Master,Yes,92.03,0,4.06,Yes,57.76,Pass
Male,18,2.01,99.91,Diploma,No,63.87,6,5.76,No,59.79,Pass
Male,19,5.03,90.14,Master,Yes,50.71,2,5.51,Yes,55.74,Pass
Female,16,0.53,98.83,Master,Yes,91.36,5,7.29,No,61.76,Pass
Female,19,3.61,91.48,Diploma,No,45.75,9,4.28,Yes,62.29,Pass
Female,15,2.37,98.53,Master,Yes,80.13,7,8.05,Yes,72.01,Pass
Male,15,2.27,88.29,Master,Yes,74.39,5,6.33,Yes,57.94,Pass
Female,15,4.05,63.19,Master,Yes,44.83,6,6.26,No,56.94,Pass
Female,17,5.18,76.08,Master,Yes,58.63,10,5.13,No,65.92,Pass
Female,17,3.85,85.86,Diploma,Yes,48.25,5,6.45,Yes,50.26,Pass
Male,17,5.19,74.03,High School,Yes,73.25,6,5.82,No,66.88,Pass
Male,19,1.96,70.94,Master,Yes,66.24,4,5.23,No,58.97,Pass
Male,17,3.36,83.1,Diploma,Yes,40.24,8,4.84,No,61.87,Pass
Male,16,2.98,97.34,Diploma,Yes,93.66,2,7.64,Yes,67.07,Pass
Female,15,0.56,61.4,Diploma,Yes,59.23,5,4.71,No,47.86,Pass
Female,19,3.56,90.77,Diploma,Yes,54.2,8,4.84,No,59.49,Pass
Female,15,4.14,88.91,Bachelor,No,52.23,0,6.89,No,57.92,Pass
Female,17,3.76,98.56,High School,Yes,48.73,4,5.13,No,56.63,Pass
Male,19,4.55,97.23,High School,Yes,94.95,3,6.3,No,75.26,Pass
Male,18,3.64,90.49,Master,Yes,56.23,8,6.76,No,70.82,Pass
Male,16,0.87,80.82,Diploma,Yes,62.3,10,5.37,No,62.13,Pass
Female,17,1.14,68.17,Bachelor,Yes,87.92,10,5.72,No,60.59,Pass
Male,17,3.78,81.81,Diploma,Yes,75.3,0,5.05,No,61.51,Pass
Male,16,2.01,90.61,Master,Yes,60.28,3,6.3,No,48.36,Pass
Female,16,0.94,95.83,High School,No,89.41,0,8.96,Yes,51.43,Pass
Female,18,2.86,91.59,Master,Yes,81.23,2,5.81,Yes,57.89,Pass
Male,17,3.55,67.81,Master,Yes,52.53,3,7.27,Yes,46.06,Pass
Male,17,2.31,83.99,Master,Yes,75.41,0,7.18,Yes,43.35,Pass
Male,15,4.46,73.29,Master,Yes,90.73,4,7.93,Yes,70.82,Pass
Male,19,4.04,60.37,Master,Yes,67.31,5,7.56,No,65.34,Pass
Male,19,2.33,68.01,Master,Yes,80.35,0,4.06,No,51.87,Pass
Male,15,4.65,64.53,Master,Yes,93.41,9,5.55,No,86.08,Pass
Female,19,4.07,93.71,High School,Yes,77.97,10,8.35,No,84.89,Pass
Female,16,4.01,70.34,High School,Yes,45.63,9,6.7,Yes,63.06,Pass
Female,19,3.54,71.39,Diploma,Yes,53.45,3,4.52,Yes,61.69,Pass
Male,19,0.56,98.4,Diploma,No,72.73,3,5.38,No,49.62,Pass
Female,15,4.33,75.16,Bachelor,No,55.16,0,5.42,No,46.3,Pass
Male,18,2.57,60.38,Bachelor,Yes,92.66,1,8.37,Yes,51.26,Pass
Male,19,5.68,71.35,High School,Yes,62.29,10,6.77,No,82.11,Pass
Female,19,5.0,64.77,High School,Yes,65.15,9,7.04,No,74.46,Pass
Male,18,3.73,64.11,Bachelor,Yes,78.59,4,5.84,Yes,58.72,Pass
Male,15,1.89,63.1,High School,Yes,68.83,1,4.3,No,44.5,Pass
Female,18,1.62,83.73,Bachelor,Yes,61.02,2,4.38,No,42.13,Pass
Female,15,2.37,67.57,Diploma,Yes,44.22,8,6.1,No,50.08,Pass
Female,16,3.12,74.45,High School,No,72.8,4,4.89,Yes,66.95,Pass
Male,15,2.13,94.48,High School,Yes,87.72,0,4.52,Yes,58.78,Pass
Female,16,3.33,76.97,Bachelor,Yes,77.72,4,5.31,Yes,68.67,Pass
Female,16,1.41,96.63,Master,Yes,60.98,2,7.71,Yes,53.69,Pass
Male,15,5.88,79.92,Master,No,47.02,0,4.37,Yes,56.83,Pass
Female,17,1.09,75.95,Diploma,Yes,84.9,2,6.24,Yes,52.27,Pass
Female,15,5.63,90.02,High School,No,91.8,10,8.13,Yes,95.51,Pass
Female,19,5.52,62.93,High School,Yes,61.36,5,5.34,No,73.99,Pass
Male,19,3.39,63.58,Bachelor,Yes,80.08,9,5.51,Yes,78.61,Pass
Male,17,4.49,86.08,Master,No,62.59,4,8.42,No,61.16,Pass
Male,16,2.9,79.48,Master,Yes,67.62,0,7.25,Yes,43.78,Pass
Male,17,3.97,91.62,Diploma,No,86.01,10,7.99,No,78.04,Pass
Female,19,2.37,96.65,Master,Yes,44.59,1,5.45,No,41.61,Pass
Male,17,2.16,75.53,Master,No,69.17,4,8.98,Yes,47.86,Pass
Male,15,3.68,83.86,Master,Yes,51.8,8,4.7,No,65.32,Pass
Female,17,3.24,80.03,Bachelor,Yes,58.69,10,8.81,Yes,57.04,Pass
Female,16,3.69,99.26,Master,Yes,75.44,4,8.51,No,75.9,Pass
Female,15,2.08,93.24,Diploma,Yes,41.5,4,6.76,No,37.47,Fail
Male,18,2.52,96.47,Master,No,72.66,0,6.93,No,48.05,Pass
Male,19,0.96,70.17,Diploma,Yes,55.59,4,7.88,Yes,39.16,Fail
Male,19,0.79,90.9,Bachelor,Yes,76.82,7,5.53,No,65.09,Pass
Female,17,1.89,70.62,Bachelor,Yes,47.79,8,6.64,No,51.59,Pass
Female,15,0.91,68.35,Diploma,Yes,80.47,9,8.51,Yes,56.24,Pass
Male,18,1.07,97.77,Bachelor,Yes,75.51,2,4.34,Yes,48.97,Pass
Female,15,4.97,60.77,High School,Yes,93.42,3,8.53,No,74.52,Pass
Female,19,0.71,98.62,High School,Yes,90.12,6,7.64,Yes,63.39,Pass
Female,15,4.12,65.97,High School,No,55.58,6,7.85,Yes,55.96,Pass
Male,18,2.0,92.78,High School,Yes,41.5,0,4.32,Yes,40.3,Pass
Female,17,5.29,71.04,High School,No,76.05,10,4.94,Yes,84.62,Pass
Female,16,3.17,74.03,Bachelor,Yes,73.16,5,8.63,No,69.85,Pass
Male,15,2.18,68.67,Diploma,Yes,41.51,8,4.62,Yes,49.5,Pass
Male,16,3.35,83.42,Bachelor,Yes,46.75,4,7.16,No,51.41,Pass
Female,19,2.6,73.92,Master,Yes,72.16,7,7.91,Yes,62.43,Pass
Female,17,3.6,86.3,High School,Yes,90.15,10,5.16,Yes,88.95,Pass
Male,17,1.13,60.63,High School,No,89.86,9,7.49,Yes,69.08,Pass
Male,15,5.98,62.57,Bachelor,Yes,48.33,10,4.33,No,71.83,Pass
Female,17,2.84,63.99,Master,Yes,61.15,8,6.49,No,74.44,Pass
Female,15,2.42,76.76,Bachelor,Yes,42.38,9,5.67,No,51.52,Pass
Female,15,4.41,92.59,Diploma,Yes,65.81,9,7.23,No,73.01,Pass
Female,16,2.5,95.53,High School,Yes,81.42,2,8.45,Yes,63.44,Pass
Male,17,5.08,69.79,Bachelor,No,83.45,0,4.63,No,64.96,Pass
Female,15,3.0,82.97,Diploma,Yes,67.44,1,6.25,Yes,46.88,Pass
Female,16,4.46,90.73,High School,No,45.27,4,6.12,No,63.64,Pass
Male,18,1.09,71.55,High School,Yes,60.98,9,5.62,Yes,65.01,Pass
Female,16,5.15,76.36,High School,Yes,91.27,6,6.4,No,76.77,Pass
Male,16,4.55,80.96,Master,Yes,52.63,10,8.4,Yes,78.02,Pass
Female,15,1.66,65.39,Bachelor,No,57.59,5,8.87,Yes,45.4,Pass
Female,19,1.3,61.04,High School,Yes,81.08,3,4.01,No,40.63,Pass
Male,19,2.24,66.11,High School,Yes,80.35,8,7.7,No,69.21,Pass
Male,19,5.87,85.07,Diploma,No,90.17,10,7.08,Yes,84.57,Pass
Female,16,1.91,62.94,Bachelor,Yes,61.35,3,8.97,Yes,42.73,Pass
Female,15,3.01,67.59,Diploma,No,68.3,2,4.45,No,51.75,Pass
Female,17,0.67,73.51,Bachelor,No,65.71,10,8.06,Yes,56.82,Pass
Male,16,2.68,63.11,High School,Yes,91.03,4,8.67,No,69.59,Pass
Female,16,3.64,67.67,Master,No,82.31,3,8.56,Yes,60.82,Pass
Male,15,5.74,96.45,Diploma,Yes,85.73,1,6.8,No,81.62,Pass
Male,18,3.34,60.77,Master,Yes,47.32,2,5.64,No,45.25,Pass
Female,16,5.01,86.14,Master,Yes,83.55,6,7.2,No,73.65,Pass
Male,18,3.51,75.38,Master,Yes,63.81,1,5.53,Yes,55.58,Pass
Female,18,0.72,86.91,Bachelor,Yes,41.28,0,6.06,No,37.8,Fail
Female,19,2.23,83.55,Bachelor,Yes,43.3,1,6.23,No,36.52,Fail
Female,15,3.67,68.94,Master,Yes,77.28,7,5.51,No,64.94,Pass
Female,18,5.73,93.89,High School,Yes,60.46,7,5.71,No,73.34,Pass
Female,15,5.23,79.68,High School,Yes,87.75,9,4.04,No,78.54,Pass
Male,19,1.76,92.9,Master,Yes,80.39,1,5.49,Yes,53.78,Pass
Male,15,1.71,76.24,Diploma,No,41.19,5,6.36,Yes,34.89,Fail
Female,16,1.61,99.39,Diploma,Yes,77.78,10,4.87,Yes,72.31,Pass
Female,18,5.57,90.82,Bachelor,Yes,50.58,10,8.03,No,75.83,Pass
Male,15,5.19,98.64,Diploma,Yes,63.24,10,6.69,Yes,84.58,Pass
Male,17,4.76,80.57,High School,Yes,74.36,6,7.97,No,72.29,Pass
Male,15,2.66,78.95,Master,Yes,88.0,0,4.64,Yes,58.82,Pass
Male,18,3.27,90.22,Diploma,Yes,65.09,6,8.1,Yes,58.47,Pass
Female,19,3.05,95.21,Master,Yes,84.47,10,8.79,Yes,79.95,Pass
Female,19,1.89,98.57,Diploma,Yes,83.06,7,5.76,Yes,63.25,Pass
Male,18,3.28,72.98,Bachelor,Yes,62.8,8,5.42,No,67.87,Pass
Female,16,0.67,91.95,High School,Yes,67.55,7,7.23,Yes,52.85,Pass
Male,16,1.22,68.43,Bachelor,No,78.53,2,7.18,Yes,53.87,Pass
Female,19,5.38,81.82,Master,Yes,41.71,7,4.56,No,64.51,Pass
Male,19,4.63,67.19,High School,Yes,88.99,2,8.63,Yes,65.72,Pass
Female,18,2.83,73.9,High School,Yes,82.34,5,6.4,Yes,65.15,Pass
Male,16,3.34,97.25,Bachelor,Yes,53.72,3,7.82,No,65.64,Pass
Male,19,2.53,65.84,Diploma,No,93.96,6,5.8,Yes,74.21,Pass
Female,16,4.57,85.3,Bachelor,Yes,49.87,7,5.31,Yes,61.32,Pass
Male,19,4.81,83.72,Master,Yes,90.27,9,4.56,No,86.51,Pass
Female,15,4.7,64.83,Diploma,Yes,57.85,5,5.37,No,59.79,Pass
Female,17,4.47,73.04,Bachelor,Yes,81.97,9,8.97,Yes,76.09,Pass
Male,15,1.62,82.52,Bachelor,Yes,65.1,3,7.29,Yes,48.46,Pass
Female,19,2.36,67.49,Diploma,No,80.51,7,8.01,Yes,63.46,Pass
Female,17,3.08,92.02,Diploma,Yes,48.57,6,8.79,No,50.82,Pass
Female,17,2.32,98.89,Diploma,Yes,54.82,9,4.39,No,58.12,Pass
Female,19,4.65,68.59,Bachelor,Yes,45.49,7,4.82,Yes,62.57,Pass
Female,19,2.31,67.48,Diploma,Yes,87.58,9,8.64,No,68.44,Pass
Male,16,1.26,78.2,Diploma,Yes,56.3,6,6.82,No,48.56,Pass
Female,19,2.69,89.91,Diploma,Yes,78.2,2,7.17,Yes,54.23,Pass
Female,18,5.89,71.26,High School,Yes,85.11,2,6.14,No,76.96,Pass
Female,19,1.74,60.8,Master,Yes,89.58,8,8.07,No,63.18,Pass
Female,18,3.87,81.65,Diploma,Yes,45.85,6,6.59,No,61.03,Pass
Female,19,2.88,98.26,Master,Yes,89.12,0,8.13,No,58.41,Pass
Male,16,0.89,75.65,Diploma,Yes,50.85,2,8.96,Yes,25.63,Fail
Female,18,3.18,76.81,Diploma,Yes,80.53,10,7.23,No,74.47,Pass
Male,15,4.36,98.76,High School,Yes,80.09,0,6.64,Yes,66.24,Pass
Male,18,3.32,87.78,High School,Yes,40.47,5,5.83,Yes,48.8,Pass
Male,16,5.3,88.77,Diploma,No,52.13,1,4.97,Yes,57.25,Pass
Male,18,2.09,82.51,Diploma,No,67.05,6,7.28,Yes,60.64,Pass
Female,19,0.97,98.98,Diploma,No,63.1,7,4.31,No,61.59,Pass
Male,19,5.65,87.55,Master,No,90.52,5,8.78,Yes,88.98,Pass
Male,16,2.58,95.8,Diploma,Yes,59.79,4,7.24,Yes,54.94,Pass
Female,17,3.67,87.98,Master,No,91.53,9,8.8,No,84.56,Pass
Female,19,4.86,89.4,High School,No,65.27,3,5.36,No,65.8,Pass
Female,15,2.28,71.62,Master,Yes,93.04,8,8.73,No,64.27,Pass
Male,16,4.44,72.14,Diploma,Yes,80.55,7,7.06,Yes,81.97,Pass
Female,18,1.24,91.32,High School,Yes,85.61,4,8.05,Yes,64.16,Pass
Female,18,2.1,71.87,Bachelor,No,45.77,0,4.89,No,27.61,Fail
Male,15,1.3,82.51,High School,Yes,72.24,7,6.5,No,55.73,Pass
Female,19,4.96,69.97,Bachelor,No,47.85,7,6.84,Yes,72.61,Pass
Female,16,1.72,92.68,Master,Yes,56.37,6,5.96,No,53.51,Pass
Female,15,4.45,64.42,High School,Yes,74.3,6,5.27,No,65.42,Pass
Female,19,5.69,93.18,High School,Yes,79.94,7,8.52,Yes,89.84,Pass
Male,16,3.4,84.11,High School,No,42.16,0,4.43,No,42.86,Pass
Female,18,3.47,67.48,Master,Yes,69.2,2,4.77,No,62.26,Pass
Female,16,3.04,81.68,Diploma,No,71.09,3,5.6,No,58.23,Pass
Male,17,2.29,71.3,Master,Yes,44.34,10,8.6,No,45.54,Pass
Female,16,3.12,72.94,High School,Yes,67.54,5,6.82,No,68.94,Pass
Male,17,3.82,74.06,Diploma,Yes,79.26,9,5.87,No,70.67,Pass
Female,16,5.92,62.53,High School,Yes,42.93,9,6.01,Yes,68.84,Pass
Male,17,5.66,99.44,High School,Yes,81.81,8,8.19,Yes,92.97,Pass
Male,18,5.24,61.26,Bachelor,Yes,71.7,3,4.13,No,78.41,Pass
Male,19,5.39,86.5,High School,Yes,85.83,5,4.06,Yes,79.6,Pass
Male,17,3.07,74.85,Master,Yes,51.99,8,4.23,No,61.42,Pass
Female,17,4.12,85.84,Master,No,85.83,8,6.35,Yes,73.59,Pass
Male,18,5.42,74.25,Master,Yes,45.2,5,6.91,No,61.22,Pass
Female,17,2.66,86.95,Diploma,Yes,62.21,4,7.12,Yes,60.37,Pass
Male,15,5.79,89.17,Bachelor,Yes,50.97,2,7.66,No,63.79,Pass
